submitted_at,filled_at,canceled_at,symbol,asset_class,side,order_type,qty,filled_qty,filled_avg_price,limit_price,stop_price,status,id
2026-06-16 14:38:18.638479+00:00,2026-06-16 14:38:18.657944+00:00,,XLF260717C00050000,us_option,buy,market,3,3,4.3,,,filled,2a8e187d-8fc0-4b1d-9034-b0ef435a871f
2026-06-16 14:37:59.763543+00:00,2026-06-16 14:37:59.827783+00:00,,META260717C00600000,us_option,buy,market,1,1,21.25,,,filled,17a5b1d2-4c01-44f3-9b06-c99a5efb9949
2026-06-16 14:36:09.231723+00:00,2026-06-16 14:36:09.343840+00:00,,ESTC260717C00065000,us_option,sell,market,2,2,2,,,filled,a9e8d3fa-7c9a-43a4-af85-3fb132b457ea
2026-06-16 14:35:42.321327+00:00,2026-06-16 14:35:42.342677+00:00,,META260717C00620000,us_option,sell,market,1,1,13.5,,,filled,f449c9d5-3ab8-4c0f-8020-0b4c7b2c0b04
2026-06-16 14:35:37.029761+00:00,2026-06-16 14:35:37.136947+00:00,,SMH260717C00640000,us_option,sell,market,1,1,35.7,,,filled,b1421f07-55b2-411c-ac81-c2f282e83531
2026-06-16 13:56:31.398922+00:00,2026-06-16 13:56:31.435290+00:00,,JNJ260717P00230000,us_option,buy,market,2,2,5.7,,,filled,8a11e0d8-c41f-4512-b3f3-a56952eabdc8
2026-06-16 13:56:13.448922+00:00,2026-06-16 13:56:13.537235+00:00,,SNOW260717C00250000,us_option,buy,market,1,1,15.5,,,filled,1925ad55-ba7f-4a89-ae3b-da021553014a
2026-06-16 13:55:54.550036+00:00,2026-06-16 13:55:54.631128+00:00,,NKE260717C00047500,us_option,buy,market,2,2,2.2,,,filled,89262d4c-de92-4e6b-9e86-580270f2b463
2026-06-16 13:55:35.217130+00:00,2026-06-16 13:55:35.239805+00:00,,INTC260717C00130000,us_option,buy,market,1,1,12.25,,,filled,2b75392c-ce3f-4d20-adc5-0196a5b1b165
2026-06-16 13:52:51.071362+00:00,2026-06-16 13:52:51.114791+00:00,,PFE260717C00026000,us_option,sell,market,1,1,0.51,,,filled,fdb3443f-a052-4340-b15c-9b825727c785
2026-06-16 13:31:18.161340+00:00,2026-06-16 13:31:18.313399+00:00,,INTC260717C00120000,us_option,sell,market,3,3,15.35,,,filled,89392e3c-9cab-4351-9029-8f1d2cfe9532
2026-06-15 18:14:58.437159+00:00,2026-06-15 18:14:58.544112+00:00,,XLF260717C00054000,us_option,sell,market,1,1,0.81,,,filled,8f51896f-b60d-46df-8343-5c9861c938d1
2026-06-15 16:07:00.358592+00:00,2026-06-15 16:07:00.453051+00:00,,ESTC260717C00065000,us_option,buy,market,2,2,3.8,,,filled,a76f9af5-80e4-420e-bb93-02430088729b
2026-06-15 15:58:32.947991+00:00,2026-06-15 15:58:33.064373+00:00,,LLY260717P01080000,us_option,buy,market,1,1,22.1,,,filled,c137e6f1-2e95-4782-ae27-d189bb4ea380
2026-06-15 15:58:13.708155+00:00,2026-06-15 15:58:13.795492+00:00,,SAP260717P00160000,us_option,buy,market,2,2,5.1,,,filled,ae57606d-e72b-4eca-aca8-4eb9952a0d15
2026-06-15 15:57:54.602196+00:00,2026-06-15 15:57:54.708040+00:00,,UBER260717C00075000,us_option,buy,market,2,2,2.35,,,filled,695169b5-4c29-44e9-a3a1-5add83b07e95
2026-06-15 15:57:35.950853+00:00,2026-06-15 15:57:35.982703+00:00,,ADBE260717P00200000,us_option,buy,market,2,2,5.5,,,filled,b8df72d7-a1a2-4ce3-b4c2-9be528465141
2026-06-15 15:57:17.548585+00:00,2026-06-15 15:57:17.623863+00:00,,TXN260717C00320000,us_option,buy,market,1,1,15.15,,,filled,f94ea609-7e56-4528-994a-ca346a2b3d50
2026-06-15 15:56:59.495155+00:00,2026-06-15 15:56:59.607753+00:00,,IBM260717P00260000,us_option,buy,market,2,2,8.6,,,filled,87345def-f805-4f86-9190-e25ec7e35d79
2026-06-15 15:56:41.870752+00:00,2026-06-15 15:56:41.912722+00:00,,ORCL260717P00190000,us_option,buy,market,1,1,10.35,,,filled,400d89a2-425e-4dc1-b53f-86d70d2cf5d0
2026-06-15 15:56:23.967300+00:00,2026-06-15 15:56:24.037379+00:00,,COIN260710C00170000,us_option,buy,market,1,1,14.65,,,filled,87f32caa-29a6-41d4-8e80-414a9b1a2347
