asset_id,symbol,exchange,asset_class,asset_marginable,qty,qty_available,avg_entry_price,side,market_value,cost_basis,unrealized_pl,unrealized_plpc,unrealized_intraday_pl,unrealized_intraday_plpc,current_price,lastday_price,change_today
410682eb-639a-4b0c-8b6d-e3362015a962,RIVN260717P00015000,,us_option,True,2,2,1.25,long,122,250,-128,-0.512,-94,-0.43519,0.61,1.08,-0.43519
d5084311-dd14-46e8-bb55-a6a1d916ecd3,RTX260710C00190000,,us_option,True,1,1,4.05,long,250,405,-155,-0.38272,20,0.08696,2.5,2.3,0.08696
4f75e487-d09d-49f8-a791-1b9ddbd33740,RTX260717C00190000,,us_option,True,1,1,4.65,long,320,465,-145,-0.31183,-145,-0.31183,3.2,3.46,-0.07514
5cd215c3-82a4-4860-a239-30e5d65fe25f,SAP260710P00150000,,us_option,True,1,1,4.9,long,225,490,-265,-0.54082,-281,-0.55534,2.25,5.06,-0.55534
1b242d10-b6dd-4fcf-a7f4-3949e9666121,SAP260717P00146000,,us_option,True,1,1,4.4,long,200,440,-240,-0.54545,-190,-0.48718,2,3.9,-0.48718
574a0572-437e-4097-a8e3-62b932f088aa,SCHW260717P00087500,,us_option,True,2,2,2,long,214,400,-186,-0.465,-186,-0.465,1.07,1.43,-0.25175
262f9a20-a32b-4af1-9e3b-c44a988d2e81,SNY260717C00042500,,us_option,True,2,2,1,long,230,200,30,0.15,30,0.15,1.15,0.65,0.76923
7e67d2f7-7e25-445e-9d93-a93879458b81,SNY260717P00042500,,us_option,True,1,1,1.5,long,60,150,-90,-0.6,-63,-0.5122,0.6,1.23,-0.5122
bc13e732-ab57-4b7b-b382-977a450c327e,SO260717C00096000,,us_option,True,2,2,2.45,long,380,490,-110,-0.22449,-110,-0.22449,1.9,1.55,0.22581
b38e2b8c-a646-4244-b58a-cfe50966359a,SO260717C00097500,,us_option,True,2,2,1.5,long,260,300,-40,-0.13333,-40,-0.13333,1.3,1.02,0.27451
15ce2f1d-1afd-4cea-af78-352d89a80124,SOFI260717P00017000,,us_option,True,3,3,1.006667,long,168,302.0001,-134.0001,-0.44371,-84,-0.33333,0.56,0.84,-0.33333
63522234-5a0d-4fd2-8d65-54315a7783da,SOFI260717P00018000,,us_option,True,2,2,1.32,long,200,264,-64,-0.24242,-74,-0.27007,1,1.37,-0.27007
f4a4e992-e629-4885-a7e4-2a00bc047cb8,SPG260717C00230000,,us_option,True,1,1,3,long,295,300,-5,-0.01667,-5,-0.01667,2.95,3,-0.01667
28353ee0-5f79-4838-8c86-266c24aae11e,TGT260717C00141000,,us_option,True,1,1,4.7,long,320,470,-150,-0.31915,-15,-0.04478,3.2,3.35,-0.04478
995e375a-1542-4620-a73a-50dfb8cbd02c,TGT260717C00143000,,us_option,True,1,1,4.3,long,237,430,-193,-0.44884,-27,-0.10227,2.37,2.64,-0.10227
26847719-550a-46fc-8b23-89eba0e0928a,TLT260717C00083000,,us_option,True,1,1,4.9,long,425,490,-65,-0.13265,-30,-0.06593,4.25,4.55,-0.06593
ea2ea43a-cf0c-4586-9345-5889b65ba512,TLT260717C00085000,,us_option,True,1,1,2.86,long,236,286,-50,-0.17483,-10,-0.04065,2.36,2.46,-0.04065
9c086ca9-bd99-434b-a26b-94104ff8ee95,UBER260717C00075000,,us_option,True,1,1,3.1,long,320,310,10,0.03226,10,0.03226,3.2,1.45,1.2069
6bab2cc8-bfb1-4b40-ab52-df2e3f0092e5,UBER260717C00077500,,us_option,True,2,2,2.25,long,396,450,-54,-0.12,-54,-0.12,1.98,0.91,1.17582
b06ba8c5-80bb-486d-ad5e-58efc9665e60,V260710C00340000,,us_option,True,1,1,4.9,long,330,490,-160,-0.32653,-160,-0.32653,3.3,3.39,-0.02655
cab1cdb5-66f4-48ec-af43-47296a11dbfb,V260717C00345000,,us_option,True,1,1,4.45,long,287,445,-158,-0.35506,67,0.30455,2.87,2.2,0.30455
94df1905-83d4-42f5-9e4d-2d8d6e0c7134,WFC260717C00085000,,us_option,True,1,1,3.1,long,208,310,-102,-0.32903,-66,-0.24088,2.08,2.74,-0.24088
