timestamp,equity,profit_loss,profit_loss_pct
2025-08-29 00:00:00,1000000.0,0.0,0.0
2025-08-30 00:00:00,999994.21,-5.79,0.0
2025-09-03 00:00:00,999789.53,-204.68,-0.0002
2025-09-04 00:00:00,999808.53,19.0,0.0
2025-09-05 00:00:00,999833.53,25.0,0.0
2025-09-06 00:00:00,999799.53,-34.0,0.0
2025-09-09 00:00:00,999832.53,33.0,0.0
2025-09-10 00:00:00,999816.53,-16.0,0.0
2025-09-11 00:00:00,999830.53,14.0,0.0
2025-09-12 00:00:00,999801.53,-29.0,0.0
2025-09-13 00:00:00,999900.53,99.0,0.0001
2025-09-16 00:00:00,999890.53,-10.0,0.0
2025-09-17 00:00:00,999897.53,7.0,0.0
2025-09-18 00:00:00,999882.53,-15.0,0.0
2025-09-19 00:00:00,999872.53,-10.0,0.0
2025-09-20 00:00:00,999884.53,12.0,0.0
2025-09-23 00:00:00,999883.53,-1.0,0.0
2025-09-24 00:00:00,999874.53,-9.0,0.0
2025-09-25 00:00:00,999875.52,0.99,0.0
2025-09-26 00:00:00,999875.52,0.0,0.0
2025-09-27 00:00:00,999875.52,0.0,0.0
2025-09-30 00:00:00,999875.52,0.0,0.0
2025-10-01 00:00:00,999875.52,0.0,0.0
2025-10-02 00:00:00,999875.52,0.0,0.0
2025-10-03 00:00:00,999875.52,0.0,0.0
2025-10-04 00:00:00,999875.52,0.0,0.0
2025-10-07 00:00:00,999875.52,0.0,0.0
2025-10-08 00:00:00,999850.46,-25.06,0.0
2025-10-09 00:00:00,999705.46,-145.0,-0.0001
2025-10-10 00:00:00,999875.46,170.0,0.0002
2025-10-11 00:00:00,999657.46,-218.0,-0.0002
2025-10-14 00:00:00,990741.49,-8915.97,-0.0089
2025-10-15 00:00:00,1021926.49,31185.0,0.0315
2025-10-16 00:00:00,1013826.49,-8100.0,-0.0079
2025-10-17 00:00:00,980940.49,-32886.0,-0.0324
2025-10-18 00:00:00,967899.49,-13041.0,-0.0133
2025-10-21 00:00:00,957936.49,-9963.0,-0.0103
2025-10-22 00:00:00,936876.49,-21060.0,-0.022
2025-10-23 00:00:00,923268.49,-13608.0,-0.0145
2025-10-24 00:00:00,938496.49,15228.0,0.0165
2025-10-25 00:00:00,974136.49,35640.0,0.038
2025-10-28 00:00:00,981507.49,7371.0,0.0076
2025-10-29 00:00:00,967251.49,-14256.0,-0.0145
2025-10-30 00:00:00,957693.49,-9558.0,-0.0099
2025-10-31 00:00:00,945057.49,-12636.0,-0.0132
2025-11-01 00:00:00,961986.49,16929.0,0.0179
2025-11-04 01:00:00,961986.49,0.0,0.0
2025-11-05 01:00:00,984099.49,22113.0,0.023
2025-11-06 01:00:00,1041123.49,57024.0,0.0579
2025-11-07 01:00:00,985476.49,-55647.0,-0.0534
2025-11-08 01:00:00,954696.49,-30780.0,-0.0312
2025-11-11 01:00:00,939387.49,-15309.0,-0.016
2025-11-12 01:00:00,922782.49,-16605.0,-0.0177
2025-11-13 01:00:00,916059.49,-6723.0,-0.0073
2025-11-14 01:00:00,891354.49,-24705.0,-0.027
2025-11-15 01:00:00,882282.49,-9072.0,-0.0102
2025-11-18 01:00:00,885036.49,2754.0,0.0031
2025-11-19 01:00:00,887871.49,2835.0,0.0032
2025-11-20 01:00:00,878394.49,-9477.0,-0.0107
2025-11-21 01:00:00,874587.49,-3807.0,-0.0043
2025-11-22 01:00:00,872076.49,-2511.0,-0.0029
2025-11-25 01:00:00,879933.49,7857.0,0.009
2025-11-26 01:00:00,876126.49,-3807.0,-0.0043
2025-11-27 01:00:00,876531.49,405.0,0.0005
2025-11-28 22:00:00,872562.49,-3969.0,-0.0045
2025-12-02 01:00:00,872886.49,324.0,0.0004
2025-12-03 01:00:00,864138.49,-8748.0,-0.01
2025-12-04 01:00:00,864057.49,-81.0,-0.0001
2025-12-05 01:00:00,865434.49,1377.0,0.0016
2025-12-06 01:00:00,863166.49,-2268.0,-0.0026
2025-12-09 01:00:00,862761.49,-405.0,-0.0005
2025-12-10 01:00:00,863004.49,243.0,0.0003
2025-12-11 01:00:00,861384.49,-1620.0,-0.0019
2025-12-12 01:00:00,860817.49,-567.0,-0.0007
2025-12-13 01:00:00,860574.49,-243.0,-0.0003
2025-12-16 01:00:00,860007.49,-567.0,-0.0007
2025-12-17 01:00:00,860169.49,162.0,0.0002
2025-12-18 01:00:00,860007.49,-162.0,-0.0002
2025-12-19 01:00:00,860007.49,0.0,0.0
2025-12-20 01:00:00,859926.49,-81.0,-0.0001
2025-12-23 01:00:00,859926.49,0.0,0.0
2025-12-24 01:00:00,859926.49,0.0,0.0
2025-12-24 22:00:00,859926.49,0.0,0.0
2025-12-27 01:00:00,859926.49,0.0,0.0
2025-12-30 01:00:00,859926.49,0.0,0.0
2025-12-31 01:00:00,859926.49,0.0,0.0
2026-01-01 01:00:00,859926.49,0.0,0.0
2026-01-03 01:00:00,859926.49,0.0,0.0
2026-01-06 01:00:00,859926.49,0.0,0.0
2026-01-07 01:00:00,859926.49,0.0,0.0
2026-01-08 01:00:00,859926.49,0.0,0.0
2026-01-09 01:00:00,859926.49,0.0,0.0
2026-01-10 01:00:00,859926.49,0.0,0.0
2026-01-13 01:00:00,859926.49,0.0,0.0
2026-01-14 01:00:00,859926.49,0.0,0.0
2026-01-15 01:00:00,859926.49,0.0,0.0
2026-01-16 01:00:00,859926.49,0.0,0.0
2026-01-17 01:00:00,859926.49,0.0,0.0
2026-01-21 01:00:00,859926.49,0.0,0.0
2026-01-22 01:00:00,859926.49,0.0,0.0
2026-01-23 01:00:00,859926.49,0.0,0.0
2026-01-24 01:00:00,859926.49,0.0,0.0
2026-01-27 01:00:00,859926.49,0.0,0.0
2026-01-28 01:00:00,859926.49,0.0,0.0
2026-01-29 01:00:00,859926.49,0.0,0.0
2026-01-30 01:00:00,859926.49,0.0,0.0
2026-01-31 01:00:00,859926.49,0.0,0.0
2026-02-03 01:00:00,859926.49,0.0,0.0
2026-02-04 01:00:00,859926.49,0.0,0.0
2026-02-05 01:00:00,859926.49,0.0,0.0
2026-02-06 01:00:00,859926.49,0.0,0.0
2026-02-07 01:00:00,859926.49,0.0,0.0
2026-02-10 01:00:00,859926.49,0.0,0.0
2026-02-11 01:00:00,859926.49,0.0,0.0
2026-02-12 01:00:00,859926.49,0.0,0.0
2026-02-13 01:00:00,859926.49,0.0,0.0
2026-02-14 01:00:00,859926.49,0.0,0.0
2026-02-18 01:00:00,859926.49,0.0,0.0
2026-02-19 01:00:00,859926.49,0.0,0.0
2026-02-20 01:00:00,859926.49,0.0,0.0
2026-02-21 01:00:00,859926.49,0.0,0.0
2026-02-24 01:00:00,859926.49,0.0,0.0
2026-02-25 01:00:00,859926.49,0.0,0.0
2026-02-26 01:00:00,859926.49,0.0,0.0
2026-02-27 01:00:00,859926.49,0.0,0.0
2026-02-28 01:00:00,859926.49,0.0,0.0
2026-03-03 01:00:00,859926.49,0.0,0.0
2026-03-04 01:00:00,859926.49,0.0,0.0
2026-03-05 01:00:00,859926.49,0.0,0.0
2026-03-06 01:00:00,859926.49,0.0,0.0
2026-03-07 01:00:00,859926.49,0.0,0.0
2026-03-10 00:00:00,859926.49,0.0,0.0
2026-03-11 00:00:00,859926.49,0.0,0.0
2026-03-12 00:00:00,859926.49,0.0,0.0
2026-03-13 00:00:00,859926.49,0.0,0.0
2026-03-14 00:00:00,859926.49,0.0,0.0
2026-03-17 00:00:00,859926.49,0.0,0.0
2026-03-18 00:00:00,859926.49,0.0,0.0
2026-03-19 00:00:00,859926.49,0.0,0.0
2026-03-20 00:00:00,859926.49,0.0,0.0
2026-03-21 00:00:00,859926.49,0.0,0.0
2026-03-24 00:00:00,859926.49,0.0,0.0
2026-03-25 00:00:00,859926.49,0.0,0.0
2026-03-26 00:00:00,859926.49,0.0,0.0
2026-03-27 00:00:00,859926.49,0.0,0.0
2026-03-28 00:00:00,859926.49,0.0,0.0
2026-03-31 00:00:00,859926.49,0.0,0.0
2026-04-01 00:00:00,859926.49,0.0,0.0
2026-04-02 00:00:00,859926.49,0.0,0.0
2026-04-03 00:00:00,859926.49,0.0,0.0
2026-04-07 00:00:00,859926.49,0.0,0.0
2026-04-08 00:00:00,859926.49,0.0,0.0
2026-04-09 00:00:00,859926.49,0.0,0.0
2026-04-10 00:00:00,859926.49,0.0,0.0
2026-04-11 00:00:00,859926.49,0.0,0.0
2026-04-14 00:00:00,859926.49,0.0,0.0
2026-04-15 00:00:00,859926.49,0.0,0.0
2026-04-16 00:00:00,859926.49,0.0,0.0
2026-04-17 00:00:00,859926.49,0.0,0.0
2026-04-18 00:00:00,859926.49,0.0,0.0
2026-04-21 00:00:00,859926.49,0.0,0.0
2026-04-22 00:00:00,859926.49,0.0,0.0
2026-04-23 00:00:00,859926.49,0.0,0.0
2026-04-24 00:00:00,859926.49,0.0,0.0
2026-04-25 00:00:00,859926.49,0.0,0.0
2026-04-28 00:00:00,859926.49,0.0,0.0
2026-04-29 00:00:00,859926.49,0.0,0.0
2026-04-30 00:00:00,859926.49,0.0,0.0
2026-05-01 00:00:00,859926.49,0.0,0.0
2026-05-02 00:00:00,859665.53,-260.96,-0.0003
2026-05-05 00:00:00,859665.53,0.0,0.0
2026-05-06 00:00:00,859369.07,-296.46,-0.0003
2026-05-07 00:00:00,863482.17,4113.1,0.0048
2026-05-08 00:00:00,862577.52,-904.65,-0.001
2026-05-09 00:00:00,866015.81,3438.29,0.004
2026-05-12 00:00:00,866483.24,467.43,0.0005
2026-05-13 00:00:00,866023.97,-459.27,-0.0005
2026-05-14 00:00:00,866801.36,777.39,0.0009
2026-05-15 00:00:00,866577.95,-223.41,-0.0003
2026-05-16 00:00:00,864852.49,-1725.46,-0.002
2026-05-19 00:00:00,863874.08,-978.41,-0.0011
2026-05-20 00:00:00,863670.24,-203.84,-0.0002
